"","V1","V2"
"164",291.12962962963,420.037037037037
"165",366.119047619048,270.733333333333
"166",470.933852140078,168.879377431907
"167",159.381578947368,294.190789473684
"168",152.942446043165,61.4676258992806
"169",179.448717948718,336.224358974359
"170",158.421739130435,42.8695652173913
"171",124.012820512821,355.673076923077
"172",144.210191082803,469.764331210191
"173",140.952941176471,434.941176470588
"174",355.134146341463,294.710365853659
"175",196.889763779528,430.507874015748
"176",186.008,285.36
"177",259.619469026549,198.628318584071
"178",111.177419354839,31.8306451612903
"179",113.879310344828,385.672413793103
"180",289.491525423729,361.28813559322
"181",308.817518248175,76.7116788321168
"182",312.484848484848,250.979797979798
"183",85.615,385.355
"184",85.3315217391304,184.755434782609
"185",95.225988700565,328.16384180791
"186",98.9838709677419,465.177419354839
"187",102.636942675159,59.2292993630573
