"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"small-world" 1 1018 19 "Nlasso_JOE(OR)" 230 20 380 39370 0.752475247524752
"small-world" 1 1018 19 "Nlasso(AND)" 148 2 398 39452 0.841437632135307
"small-world" 1 1018 19 "Nlasso(OR)" 308 0 400 39292 0.72202166064982
"small-world" 1 1018 19 "Glasso" 592 0 400 39008 0.574712643678161
"small-world" 1 1018 19 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 19 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 20 "Nlasso_JOE(AND)" 0 66 334 39600 0.91008174386921
"small-world" 1 1018 20 "Nlasso_JOE(OR)" 10 40 360 39590 0.935064935064935
"small-world" 1 1018 20 "Nlasso(AND)" 126 4 396 39474 0.859002169197397
"small-world" 1 1018 20 "Nlasso(OR)" 302 4 396 39298 0.721311475409836
"small-world" 1 1018 20 "Glasso" 72 22 378 39528 0.889411764705882
"small-world" 1 1018 20 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 20 "DBGlasso_FDR" 0 400 0 39600 0
"scale-free" 1 1018 1 "Nlasso_JOE(AND)" 0 316 82 39602 0.341666666666667
"scale-free" 1 1018 1 "Nlasso_JOE(OR)" 14 280 118 39588 0.445283018867925
"scale-free" 1 1018 1 "Nlasso(AND)" 1850 2 396 37752 0.299546142208775
"scale-free" 1 1018 1 "Nlasso(OR)" 1402 2 396 38200 0.360655737704918
"scale-free" 1 1018 1 "Glasso" 24 270 128 39578 0.465454545454545
"scale-free" 1 1018 1 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 1 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 2 "Nlasso_JOE(AND)" 0 56 342 39602 0.924324324324324
"scale-free" 1 1018 2 "Nlasso_JOE(OR)" 26 22 376 39576 0.94
"scale-free" 1 1018 2 "Nlasso(AND)" 1640 0 398 37962 0.326765188834154
"scale-free" 1 1018 2 "Nlasso(OR)" 2014 0 398 37588 0.283274021352313
"scale-free" 1 1018 2 "Glasso" 14 272 126 39588 0.468401486988848
"scale-free" 1 1018 2 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 2 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 3 "Nlasso_JOE(AND)" 0 302 96 39602 0.388663967611336
"scale-free" 1 1018 3 "Nlasso_JOE(OR)" 10 268 130 39592 0.483271375464684
"scale-free" 1 1018 3 "Nlasso(AND)" 174 2 396 39428 0.818181818181818
"scale-free" 1 1018 3 "Nlasso(OR)" 320 2 396 39282 0.710951526032316
"scale-free" 1 1018 3 "Glasso" 24 260 138 39578 0.492857142857143
"scale-free" 1 1018 3 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 3 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 4 "Nlasso_JOE(AND)" 0 38 360 39602 0.949868073878628
"scale-free" 1 1018 4 "Nlasso_JOE(OR)" 28 20 378 39574 0.940298507462687
"scale-free" 1 1018 4 "Nlasso(AND)" 1792 0 398 37810 0.30757341576507
"scale-free" 1 1018 4 "Nlasso(OR)" 1310 0 398 38292 0.377967711301045
"scale-free" 1 1018 4 "Glasso" 116 8 390 39486 0.86283185840708
"scale-free" 1 1018 4 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 4 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 5 "Nlasso_JOE(AND)" 0 312 86 39602 0.355371900826446
"scale-free" 1 1018 5 "Nlasso_JOE(OR)" 16 262 136 39586 0.494545454545455
"scale-free" 1 1018 5 "Nlasso(AND)" 228 0 398 39374 0.77734375
"scale-free" 1 1018 5 "Nlasso(OR)" 404 0 398 39198 0.663333333333333
"scale-free" 1 1018 5 "Glasso" 36 256 142 39566 0.493055555555556
"scale-free" 1 1018 5 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 5 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 6 "Nlasso_JOE(AND)" 0 308 90 39602 0.368852459016393
"scale-free" 1 1018 6 "Nlasso_JOE(OR)" 8 276 122 39594 0.462121212121212
"scale-free" 1 1018 6 "Nlasso(AND)" 192 2 396 39410 0.803245436105477
"scale-free" 1 1018 6 "Nlasso(OR)" 338 0 398 39264 0.701940035273369
"scale-free" 1 1018 6 "Glasso" 20 264 134 39582 0.485507246376812
"scale-free" 1 1018 6 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 6 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 7 "Nlasso_JOE(AND)" 0 62 336 39602 0.915531335149864
"scale-free" 1 1018 7 "Nlasso_JOE(OR)" 36 26 372 39566 0.923076923076923
"scale-free" 1 1018 7 "Nlasso(AND)" 150 4 394 39452 0.83651804670913
"scale-free" 1 1018 7 "Nlasso(OR)" 278 4 394 39324 0.736448598130841
"scale-free" 1 1018 7 "Glasso" 86 18 380 39516 0.87962962962963
"scale-free" 1 1018 7 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 7 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 8 "Nlasso_JOE(AND)" 0 42 356 39602 0.944297082228117
"scale-free" 1 1018 8 "Nlasso_JOE(OR)" 36 16 382 39566 0.936274509803922
"scale-free" 1 1018 8 "Nlasso(AND)" 1712 0 398 37890 0.317384370015949
"scale-free" 1 1018 8 "Nlasso(OR)" 2028 0 398 37574 0.281869688385269
"scale-free" 1 1018 8 "Glasso" 102 4 394 39500 0.881431767337808
"scale-free" 1 1018 8 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 8 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 9 "Nlasso_JOE(AND)" 0 322 76 39602 0.320675105485232
"scale-free" 1 1018 9 "Nlasso_JOE(OR)" 10 284 114 39592 0.436781609195402
"scale-free" 1 1018 9 "Nlasso(AND)" 1696 0 398 37906 0.319422150882825
"scale-free" 1 1018 9 "Nlasso(OR)" 1980 0 398 37622 0.286743515850144
"scale-free" 1 1018 9 "Glasso" 14 272 126 39588 0.468401486988848
"scale-free" 1 1018 9 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 9 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 10 "Nlasso_JOE(AND)" 0 314 84 39602 0.348547717842324
"scale-free" 1 1018 10 "Nlasso_JOE(OR)" 14 286 112 39588 0.427480916030534
"scale-free" 1 1018 10 "Nlasso(AND)" 1736 0 398 37866 0.314375987361769
"scale-free" 1 1018 10 "Nlasso(OR)" 2088 0 398 37514 0.276005547850208
"scale-free" 1 1018 10 "Glasso" 24 272 126 39578 0.45985401459854
"scale-free" 1 1018 10 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 10 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 11 "Nlasso_JOE(AND)" 0 50 348 39602 0.932975871313673
"scale-free" 1 1018 11 "Nlasso_JOE(OR)" 34 28 370 39568 0.922693266832918
"scale-free" 1 1018 11 "Nlasso(AND)" 1788 0 398 37814 0.308049535603715
"scale-free" 1 1018 11 "Nlasso(OR)" 2068 0 398 37534 0.277932960893855
"scale-free" 1 1018 11 "Glasso" 144 20 378 39458 0.821739130434783
"scale-free" 1 1018 11 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 11 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 12 "Nlasso_JOE(AND)" 0 48 350 39602 0.935828877005348
"scale-free" 1 1018 12 "Nlasso_JOE(OR)" 38 18 380 39564 0.931372549019608
"scale-free" 1 1018 12 "Nlasso(AND)" 182 2 396 39420 0.811475409836066
"scale-free" 1 1018 12 "Nlasso(OR)" 334 2 396 39268 0.702127659574468
"scale-free" 1 1018 12 "Glasso" 112 8 390 39490 0.866666666666667
"scale-free" 1 1018 12 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 12 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 13 "Nlasso_JOE(AND)" 0 48 350 39602 0.935828877005348
"scale-free" 1 1018 13 "Nlasso_JOE(OR)" 46 22 376 39556 0.917073170731707
"scale-free" 1 1018 13 "Nlasso(AND)" 1704 2 396 37898 0.317053642914331
"scale-free" 1 1018 13 "Nlasso(OR)" 2042 2 396 37560 0.279266572637518
"scale-free" 1 1018 13 "Glasso" 128 20 378 39474 0.836283185840708
"scale-free" 1 1018 13 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 13 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 14 "Nlasso_JOE(AND)" 0 44 354 39602 0.941489361702128
"scale-free" 1 1018 14 "Nlasso_JOE(OR)" 36 24 374 39566 0.925742574257426
"scale-free" 1 1018 14 "Nlasso(AND)" 188 4 394 39414 0.804081632653061
"scale-free" 1 1018 14 "Nlasso(OR)" 348 2 396 39254 0.693520140105079
"scale-free" 1 1018 14 "Glasso" 124 14 384 39478 0.847682119205298
"scale-free" 1 1018 14 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 14 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 15 "Nlasso_JOE(AND)" 0 320 78 39602 0.327731092436975
