"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"star" 1 600 10 "Nlasso_JOE(OR)" 214 6 374 39406 0.772727272727273
"star" 1 600 10 "Nlasso(AND)" 526 94 286 39094 0.47986577181208
"star" 1 600 10 "Nlasso(OR)" 1038 24 356 38582 0.401352874859076
"star" 1 600 10 "Glasso" 704 0 380 38916 0.519125683060109
"star" 1 600 11 "Nlasso_JOE(AND)" 16 98 282 39604 0.831858407079646
"star" 1 600 11 "Nlasso_JOE(OR)" 212 6 374 39408 0.774327122153209
"star" 1 600 11 "Nlasso(AND)" 488 94 286 39132 0.495667244367418
"star" 1 600 11 "Nlasso(OR)" 1036 42 338 38584 0.385404789053592
"star" 1 600 11 "Glasso" 722 4 376 38898 0.508795669824087
"star" 1 600 12 "Nlasso_JOE(AND)" 24 82 298 39596 0.849002849002849
"star" 1 600 12 "Nlasso_JOE(OR)" 206 14 366 39414 0.76890756302521
"star" 1 600 12 "Nlasso(AND)" 1588 68 312 38032 0.273684210526316
"star" 1 600 12 "Nlasso(OR)" 1534 22 358 38086 0.315140845070423
"star" 1 600 12 "Glasso" 766 2 378 38854 0.496062992125984
"star" 1 600 13 "Nlasso_JOE(AND)" 30 90 290 39590 0.828571428571429
"star" 1 600 13 "Nlasso_JOE(OR)" 224 4 376 39396 0.76734693877551
"star" 1 600 13 "Nlasso(AND)" 1608 76 304 38012 0.265270506108202
"star" 1 600 13 "Nlasso(OR)" 1504 22 358 38116 0.31935771632471
"star" 1 600 13 "Glasso" 848 4 376 38772 0.468827930174564
"star" 1 600 14 "Nlasso_JOE(AND)" 38 94 286 39582 0.8125
"star" 1 600 14 "Nlasso_JOE(OR)" 220 20 360 39400 0.75
"star" 1 600 14 "Nlasso(AND)" 558 104 276 39062 0.454695222405272
"star" 1 600 14 "Nlasso(OR)" 1098 30 350 38522 0.382932166301969
"star" 1 600 14 "Glasso" 754 6 374 38866 0.496021220159151
"star" 1 600 15 "Nlasso_JOE(AND)" 20 110 270 39600 0.805970149253731
"star" 1 600 15 "Nlasso_JOE(OR)" 210 12 368 39410 0.768267223382046
"star" 1 600 15 "Nlasso(AND)" 1564 82 298 38056 0.265834076717217
