"graph" "signal_ind" "n2" "alpha" "tuning_c1" "tuning_c2"
"star" 4 250 1 0.2 0.2
"star" 4 250 1.5 0.2 0.2
"star" 4 125 1 0.2 0.2
"star" 5 500 1 0.4 0.4
"star" 4 250 1.2 0.2 0.2
"star" 4 125 1.2 0.2 0.2
"star" 5 500 1.5 0.2 0.2
"star" 5 125 1.5 0.2 0.2
"star" 6 500 1 0.4 0.4
"star" 5 250 1 0.2 0.2
"star" 5 125 1 0.2 0.2
"star" 5 250 1.5 0.2 0.2
"star" 4 500 1.2 0.4 0.4
"star" 5 250 1.2 0.2 0.2
"star" 5 125 1.2 0.2 0.2
"star" 6 500 1.5 0.2 0.2
"star" 7 500 1 0.4 0.4
"star" 6 125 1.5 0.2 0.2
"star" 6 250 1 0.2 0.2
"star" 6 125 1 0.2 0.2
"star" 6 250 1.5 0.1 0.2
"star" 6 250 1.2 0.2 0.2
"star" 5 500 1.2 0.4 0.4
"star" 7 500 1.5 0.2 0.2
"star" 8 500 1 0.4 0.4
"star" 6 125 1.2 0.2 0.2
"star" 7 125 1.5 0.2 0.2
"star" 7 250 1 0.2 0.2
"star" 7 125 1 0.2 0.2
"star" 7 250 1.5 0.1 0.2
"star" 8 500 1.5 0.2 0.2
"star" 7 250 1.2 0.1 0.2
"star" 7 125 1.2 0.2 0.2
"star" 8 125 1.5 0.2 0.2
"star" 6 500 1.2 0.4 0.4
"star" 8 125 1 0.2 0.2
"star" 8 250 1 0.1 0.2
"star" 8 250 1.5 0.1 0.1
"star" 8 250 1.2 0.1 0.2
"star" 8 125 1.2 0.2 0.2
"star" 7 500 1.2 0.2 0.4
"star" 8 500 1.2 0.2 0.2
